total_quantity,total_revenue,date,hour,product
4,537.32,2013-01-18,4,backpack
11,277.24,2013-01-18,2,binder
3,36.66,2013-01-18,10,binder
11,196.72,2013-01-18,4,binder
7,75.1,2013-01-18,2,envelopes
3,45.21,2013-01-18,4,envelopes
3,58.59,2013-01-18,10,envelopes
2,913.22,2013-01-18,4,laptop
4,5609.2,2013-01-18,2,laptop
2,35.66,2013-01-18,2,notepad
7,139.83,2013-01-18,4,notepad
2,56.88,2013-01-18,10,notepad
5,308.45,2013-01-18,2,pens
5,145.8,2013-01-18,4,pens
10,473.8,2013-01-18,10,printer paper
3,122.73,2013-01-18,2,printer paper
2,89.54,2013-01-18,4,printer paper
1,176.86,2013-01-19,18,backpack
15,177.15,2013-01-19,20,binder
1,26.16,2013-01-19,13,binder
28,423.74,2013-01-19,20,envelopes
9,9139.77,2013-01-19,20,laptop
3,104.28,2013-01-19,9,notepad
4,62.28,2013-01-19,17,notepad
17,345.09,2013-01-19,20,notepad
10,189.34,2013-01-19,20,pens
10,233.14,2013-01-19,20,printer paper
5,241.35,2013-01-19,17,printer paper
1,70.78,2013-01-20,10,backpack
5,940.7,2013-01-20,9,backpack
2,347.8,2013-01-20,17,backpack
1,13.98,2013-01-20,17,binder
17,221.28,2013-01-20,10,binder
8,148.4,2013-01-20,10,envelopes
5,123.85,2013-01-20,17,envelopes
15,289.95,2013-01-20,9,envelopes
5,4626.4,2013-01-20,17,laptop
3,52.53,2013-01-20,2,notepad
10,206.72,2013-01-20,10,notepad
9,90.21,2013-01-20,17,notepad
5,54.1,2013-01-20,9,notepad
4,40.04,2013-01-20,2,pens
8,420.92,2013-01-20,10,pens
3,156.84,2013-01-20,9,pens
4,105.92,2013-01-20,17,printer paper
2,60.34,2013-01-20,10,printer paper
9,276.03,2013-01-20,2,printer paper
1,71.39,2013-01-21,5,backpack
2,286.56,2013-01-21,20,backpack
5,619.4,2013-01-21,18,backpack
4,112.64,2013-01-21,5,binder
3,51.6,2013-01-21,3,binder
18,335.68,2013-01-21,18,binder
4,98.6,2013-01-21,15,binder
4,52.48,2013-01-21,15,envelopes
6,98.1,2013-01-21,18,envelopes
6,135.96,2013-01-21,3,envelopes
5,5517.9,2013-01-21,5,laptop
4,3929.4,2013-01-21,3,laptop
2,2474.68,2013-01-21,18,laptop
2,14.48,2013-01-21,18,notepad
6,183.08,2013-01-21,20,notepad
4,55.04,2013-01-21,15,notepad
1,48.84,2013-01-21,3,pens
1,57.92,2013-01-21,18,pens
4,304.4,2013-01-21,5,pens
1,17.89,2013-01-21,20,printer paper
3,95.97,2013-01-21,15,printer paper
8,220.56,2013-01-21,3,printer paper
2,28.66,2013-01-22,7,binder
1,22.71,2013-01-22,7,notepad
1,23.72,2013-01-22,7,printer paper
1,26.13,2013-01-23,11,binder
1,11.63,2013-01-23,11,notepad
2,95.8,2013-01-24,8,backpack
9,224.28,2013-01-24,8,binder
13,329.63,2013-01-24,22,binder
10,140.1,2013-01-24,23,envelopes
14,232.27,2013-01-24,8,envelopes
9,109.77,2013-01-24,18,envelopes
2,1488.84,2013-01-24,23,laptop
10,246.55,2013-01-24,8,notepad
3,114.33,2013-01-24,18,notepad
3,68.31,2013-01-24,23,notepad
3,169.95,2013-01-24,8,pens
3,47.82,2013-01-24,23,pens
2,87.64,2013-01-24,8,printer paper
4,151.88,2013-01-25,6,notepad
4,722.36,2013-01-26,19,backpack
5,662.8,2013-01-26,14,backpack
8,134.44,2013-01-26,19,binder
6,76.8,2013-01-26,14,envelopes
2,2706.28,2013-01-26,19,laptop
2,58.78,2013-01-26,19,notepad
7,104.44,2013-01-26,19,printer paper
4,241.24,2013-01-28,4,backpack
3,256.53,2013-01-28,22,backpack
4,619.52,2013-01-28,15,backpack
2,44.36,2013-01-28,4,binder
2,37.14,2013-01-28,15,binder
7,111.58,2013-01-28,22,binder
16,168.32,2013-01-28,15,envelopes
15,125.9,2013-01-28,4,envelopes
2,28.96,2013-01-28,22,envelopes
3,2943.24,2013-01-28,22,laptop
1,1261.46,2013-01-28,4,laptop
11,331.69,2013-01-28,22,notepad
4,144.28,2013-01-28,4,notepad
1,65.71,2013-01-28,22,pens
5,305.53,2013-01-28,4,pens
7,130.97,2013-01-28,4,printer paper
6,115.08,2013-01-28,15,printer paper
8,336.64,2013-01-28,22,printer paper
1,73.01,2013-01-29,13,backpack
4,720.96,2013-01-29,16,backpack
5,79.7,2013-01-29,16,binder
8,186.98,2013-01-29,13,binder
15,162.3,2013-01-29,13,envelopes
4,60.88,2013-01-29,16,envelopes
5,2686.05,2013-01-29,16,laptop
2,2506.1,2013-01-29,13,laptop
5,54.95,2013-01-29,1,notepad
8,271.47,2013-01-29,16,notepad
6,114.64,2013-01-29,13,notepad
4,241.98,2013-01-29,13,pens
10,254.8,2013-01-29,16,printer paper
4,224.4,2013-01-30,8,backpack
4,402.12,2013-01-30,23,backpack
4,58.2,2013-01-30,23,binder
7,198.87,2013-01-30,8,binder
1,22.73,2013-01-30,8,envelopes
10,216.2,2013-01-30,23,envelopes
5,3484.45,2013-01-30,8,laptop
5,4827.35,2013-01-30,23,laptop
2,69.78,2013-01-30,23,notepad
4,26.28,2013-01-30,23,pens
4,78.52,2013-01-30,8,printer paper
9,363.24,2013-01-30,23,printer paper
5,315.3,2013-01-31,8,backpack
12,231.71,2013-01-31,8,binder
4,79.74,2013-01-31,8,envelopes
12,297.93,2013-01-31,8,notepad
5,109.95,2013-01-31,8,pens
9,279.81,2013-01-31,8,printer paper
2,141.18,2013-02-01,11,backpack
1,11.1,2013-02-01,11,binder
8,97.52,2013-02-01,17,envelopes
3,24.69,2013-02-01,21,envelopes
6,134.2,2013-02-01,17,notepad
5,111.6,2013-02-01,21,pens
6,185.52,2013-02-01,11,printer paper
2,275.74,2013-02-02,15,backpack
1,103.35,2013-02-02,18,backpack
5,71.8,2013-02-02,15,binder
10,274.1,2013-02-02,18,binder
5,55.75,2013-02-02,18,envelopes
13,226.67,2013-02-02,9,envelopes
2,23.48,2013-02-02,15,envelopes
14,280.42,2013-02-02,17,envelopes
3,62.49,2013-02-02,9,notepad
6,78.66,2013-02-02,17,notepad
5,151.7,2013-02-02,15,notepad
5,358.85,2013-02-02,15,pens
3,165.57,2013-02-02,17,pens
9,98.82,2013-02-02,15,printer paper
7,90.16,2013-02-02,18,printer paper
1,19.44,2013-02-03,0,binder
6,71.88,2013-02-03,16,binder
11,218.09,2013-02-03,15,envelopes
5,4352.0,2013-02-03,16,laptop
3,70.56,2013-02-03,16,notepad
1,26.18,2013-02-03,16,pens
2,350.56,2013-02-04,8,backpack
3,156.06,2013-02-04,4,backpack
1,11.28,2013-02-04,22,binder
12,257.14,2013-02-04,22,envelopes
17,300.08,2013-02-04,4,envelopes
7,259.49,2013-02-04,22,notepad
5,147.47,2013-02-04,4,notepad
2,77.92,2013-02-04,8,notepad
5,219.3,2013-02-04,22,pens
6,372.68,2013-02-04,4,pens
6,62.14,2013-02-04,8,pens
2,23.62,2013-02-04,4,printer paper
6,217.32,2013-02-04,22,printer paper
1,126.61,2013-02-05,5,backpack
3,378.84,2013-02-05,0,backpack
1,15.78,2013-02-05,5,binder
10,208.36,2013-02-05,9,binder
4,64.44,2013-02-05,0,binder
8,111.44,2013-02-05,5,envelopes
1,19.2,2013-02-05,0,envelopes
10,164.9,2013-02-05,23,envelopes
9,46.8,2013-02-05,9,envelopes
4,5552.44,2013-02-05,9,laptop
3,21.33,2013-02-05,23,notepad
3,26.94,2013-02-05,0,notepad
5,68.2,2013-02-05,13,notepad
6,139.95,2013-02-05,9,notepad
5,119.09,2013-02-05,5,notepad
2,111.08,2013-02-05,5,pens
5,323.56,2013-02-05,0,pens
2,84.1,2013-02-05,13,pens
4,108.52,2013-02-05,9,pens
9,171.72,2013-02-05,9,printer paper
10,384.3,2013-02-05,0,printer paper
5,964.7,2013-02-06,15,backpack
3,498.54,2013-02-06,13,backpack
6,137.54,2013-02-06,8,binder
7,71.54,2013-02-06,13,binder
9,130.68,2013-02-06,15,binder
10,56.7,2013-02-06,13,envelopes
3,43.59,2013-02-06,15,envelopes
8,186.0,2013-02-06,14,envelopes
13,245.06,2013-02-06,8,envelopes
1,913.34,2013-02-06,14,laptop
5,6163.25,2013-02-06,13,laptop
4,1678.12,2013-02-06,8,laptop
4,133.4,2013-02-06,8,notepad
2,24.9,2013-02-06,15,notepad
4,87.98,2013-02-06,13,notepad
4,61.9,2013-02-06,14,notepad
5,269.55,2013-02-06,13,pens
4,51.84,2013-02-06,15,pens
3,139.68,2013-02-06,8,pens
6,159.3,2013-02-06,8,printer paper
9,115.38,2013-02-07,5,binder
4,60.16,2013-02-07,6,binder
8,63.76,2013-02-07,5,envelopes
1,1287.86,2013-02-07,5,laptop
3,3804.06,2013-02-07,6,laptop
5,64.05,2013-02-07,5,notepad
5,36.21,2013-02-07,6,notepad
1,60.78,2013-02-07,6,pens
4,311.16,2013-02-07,5,pens
3,83.61,2013-02-07,5,printer paper
2,280.34,2013-02-08,12,backpack
5,690.55,2013-02-08,6,backpack
4,296.24,2013-02-08,13,backpack
5,461.8,2013-02-08,5,backpack
13,357.27,2013-02-08,6,binder
4,100.28,2013-02-08,13,binder
14,330.12,2013-02-08,5,binder
8,222.0,2013-02-08,12,binder
5,118.4,2013-02-08,2,binder
7,84.07,2013-02-08,6,envelopes
8,184.8,2013-02-08,2,envelopes
11,223.79,2013-02-08,5,envelopes
7,112.52,2013-02-08,12,envelopes
12,125.36,2013-02-08,13,envelopes
3,63.93,2013-02-08,7,envelopes
2,1565.8,2013-02-08,6,laptop
5,2000.75,2013-02-08,7,laptop
3,3489.21,2013-02-08,5,laptop
3,1303.26,2013-02-08,2,laptop
5,100.6,2013-02-08,12,notepad
4,128.24,2013-02-08,5,notepad
7,212.08,2013-02-08,2,notepad
4,58.08,2013-02-08,6,notepad
9,122.51,2013-02-08,13,notepad
4,164.3,2013-02-08,13,pens
7,395.61,2013-02-08,7,pens
3,18.75,2013-02-08,2,pens
5,179.9,2013-02-08,6,pens
4,303.92,2013-02-08,5,pens
8,263.44,2013-02-08,12,printer paper
10,210.9,2013-02-08,7,printer paper
10,411.2,2013-02-08,5,printer paper
5,812.85,2013-02-09,11,backpack
6,644.67,2013-02-09,21,backpack
1,109.43,2013-02-09,15,backpack
31,551.97,2013-02-09,21,binder
1,20.91,2013-02-09,15,binder
12,299.7,2013-02-09,5,binder
5,72.23,2013-02-09,11,binder
17,175.8,2013-02-09,21,envelopes
7,122.08,2013-02-09,11,envelopes
18,302.26,2013-02-09,5,envelopes
3,2943.84,2013-02-09,21,laptop
1,968.66,2013-02-09,5,laptop
3,119.16,2013-02-09,15,notepad
12,276.91,2013-02-09,11,notepad
6,145.98,2013-02-09,5,notepad
9,188.11,2013-02-09,21,notepad
3,130.59,2013-02-09,15,pens
1,30.4,2013-02-09,5,pens
10,472.35,2013-02-09,21,pens
4,148.5,2013-02-09,11,pens
17,495.88,2013-02-09,21,printer paper
7,81.76,2013-02-09,11,printer paper
2,213.82,2013-02-10,15,backpack
4,65.4,2013-02-10,15,binder
3,41.88,2013-02-10,15,envelopes
5,4631.0,2013-02-10,15,laptop
5,6359.55,2013-02-10,2,laptop
5,126.71,2013-02-10,2,notepad
12,264.59,2013-02-10,15,notepad
6,106.89,2013-02-10,15,pens
2,88.36,2013-02-10,2,pens
2,70.84,2013-02-10,15,printer paper
6,65.52,2013-02-11,12,binder
4,79.08,2013-02-11,19,binder
10,214.6,2013-02-11,12,envelopes
17,202.56,2013-02-11,19,envelopes
3,4131.6,2013-02-11,19,laptop
10,342.88,2013-02-11,19,notepad
10,176.4,2013-02-11,12,notepad
4,164.52,2013-02-11,19,pens
8,131.16,2013-02-12,15,binder
6,147.24,2013-02-12,17,binder
15,201.93,2013-02-12,17,envelopes
4,40.0,2013-02-12,15,envelopes
4,1644.88,2013-02-12,17,laptop
1,25.37,2013-02-12,15,notepad
8,149.3,2013-02-12,17,notepad
3,45.72,2013-02-12,15,pens
6,71.46,2013-02-12,17,printer paper
4,561.64,2013-02-13,14,backpack
1,65.71,2013-02-13,11,backpack
4,98.48,2013-02-13,19,binder
1,13.19,2013-02-13,15,binder
4,53.24,2013-02-13,11,binder
8,102.5,2013-02-13,14,envelopes
8,61.76,2013-02-13,15,envelopes
3,2959.05,2013-02-13,11,laptop
2,32.28,2013-02-13,11,notepad
3,43.8,2013-02-13,19,notepad
7,208.35,2013-02-13,14,notepad
7,99.31,2013-02-13,15,notepad
3,110.4,2013-02-13,11,pens
6,306.87,2013-02-13,14,pens
3,36.12,2013-02-13,14,printer paper
3,515.49,2013-02-14,17,backpack
4,64.56,2013-02-14,17,binder
14,195.54,2013-02-14,16,binder
6,81.72,2013-02-14,22,envelopes
13,183.26,2013-02-14,17,envelopes
6,135.61,2013-02-14,16,envelopes
1,1262.99,2013-02-14,16,laptop
4,6110.72,2013-02-14,17,laptop
2,1087.78,2013-02-14,22,laptop
1,20.31,2013-02-14,17,notepad
5,171.4,2013-02-14,16,notepad
3,82.14,2013-02-14,16,pens
10,665.35,2013-02-14,22,pens
6,61.48,2013-02-14,17,pens
5,87.45,2013-02-14,22,printer paper
4,50.12,2013-02-14,17,printer paper
10,180.98,2013-02-15,11,binder
2,39.7,2013-02-15,21,binder
10,107.5,2013-02-15,21,envelopes
4,2923.48,2013-02-15,21,laptop
3,3159.93,2013-02-15,11,laptop
3,21.99,2013-02-15,21,notepad
10,218.8,2013-02-15,11,notepad
7,400.52,2013-02-15,11,pens
3,230.01,2013-02-15,21,pens
4,391.32,2013-02-16,11,backpack
1,11.4,2013-02-16,11,binder
1,26.98,2013-02-16,8,binder
6,136.52,2013-02-16,18,binder
1,10.36,2013-02-16,13,binder
10,123.78,2013-02-16,11,envelopes
7,109.97,2013-02-16,13,envelopes
10,111.6,2013-02-16,18,envelopes
17,202.04,2013-02-16,8,envelopes
2,1389.52,2013-02-16,8,laptop
3,3839.67,2013-02-16,18,laptop
5,81.67,2013-02-16,18,notepad
6,195.92,2013-02-16,11,notepad
3,45.57,2013-02-16,13,notepad
3,78.48,2013-02-16,8,notepad
4,246.6,2013-02-16,11,pens
3,89.91,2013-02-16,18,pens
9,232.83,2013-02-16,18,printer paper
3,272.16,2013-02-17,9,backpack
2,247.26,2013-02-17,19,backpack
14,364.4,2013-02-17,9,binder
6,112.08,2013-02-17,19,envelopes
4,72.64,2013-02-17,9,envelopes
5,3338.4,2013-02-17,9,laptop
15,356.95,2013-02-17,9,notepad
1,29.78,2013-02-17,21,notepad
3,235.05,2013-02-17,9,pens
4,40.88,2013-02-17,21,pens
3,128.4,2013-02-17,9,printer paper
2,78.74,2013-02-17,21,printer paper
3,462.78,2013-02-19,0,backpack
5,141.62,2013-02-19,5,binder
6,112.14,2013-02-19,0,binder
19,416.61,2013-02-19,0,envelopes
3,58.68,2013-02-19,5,envelopes
2,1156.26,2013-02-19,5,laptop
2,905.54,2013-02-19,0,laptop
5,58.15,2013-02-19,5,notepad
6,178.74,2013-02-19,0,notepad
9,284.01,2013-02-19,5,pens
9,192.69,2013-02-19,5,printer paper
1,37.79,2013-02-20,9,notepad
8,215.52,2013-02-21,1,binder
4,54.56,2013-02-21,17,envelopes
4,3524.24,2013-02-21,1,laptop
5,135.73,2013-02-21,17,notepad
4,189.08,2013-02-21,1,pens
5,788.8,2013-02-22,20,backpack
2,378.42,2013-02-22,10,backpack
1,24.08,2013-02-22,20,binder
6,135.9,2013-02-22,14,binder
10,222.5,2013-02-22,9,binder
13,346.39,2013-02-22,10,binder
3,24.6,2013-02-22,10,envelopes
18,367.12,2013-02-22,20,envelopes
4,79.64,2013-02-22,9,envelopes
2,21.14,2013-02-22,14,envelopes
4,4317.36,2013-02-22,20,laptop
5,2802.4,2013-02-22,10,laptop
1,660.1,2013-02-22,14,laptop
2,28.76,2013-02-22,20,notepad
7,135.31,2013-02-22,14,notepad
5,146.7,2013-02-22,10,notepad
3,224.14,2013-02-22,20,pens
4,181.88,2013-02-22,9,printer paper
4,67.52,2013-02-22,10,printer paper
4,751.32,2013-02-24,0,backpack
7,121.32,2013-02-24,23,binder
6,140.7,2013-02-24,15,binder
4,88.48,2013-02-24,15,envelopes
5,119.62,2013-02-24,23,envelopes
1,1483.86,2013-02-24,15,laptop
4,62.76,2013-02-24,0,notepad
4,81.92,2013-02-24,15,notepad
6,159.82,2013-02-24,23,notepad
5,111.26,2013-02-24,15,pens
3,109.84,2013-02-24,23,pens
2,83.72,2013-02-24,15,printer paper
1,85.39,2013-02-26,0,backpack
1,86.77,2013-02-26,8,backpack
3,567.72,2013-02-26,12,backpack
5,998.8,2013-02-26,23,backpack
14,320.8,2013-02-26,0,binder
9,264.87,2013-02-26,8,binder
2,30.18,2013-02-26,12,binder
6,132.72,2013-02-26,22,binder
7,87.37,2013-02-26,9,binder
15,202.69,2013-02-26,0,envelopes
8,124.84,2013-02-26,8,envelopes
5,73.9,2013-02-26,22,envelopes
3,56.4,2013-02-26,12,envelopes
1,14.12,2013-02-26,23,envelopes
2,16.62,2013-02-26,9,envelopes
2,1195.22,2013-02-26,9,laptop
5,138.25,2013-02-26,8,notepad
6,57.58,2013-02-26,12,notepad
6,147.16,2013-02-26,0,notepad
4,23.56,2013-02-26,9,notepad
7,84.68,2013-02-26,23,notepad
3,135.99,2013-02-26,0,pens
7,234.33,2013-02-26,8,pens
6,205.23,2013-02-26,9,pens
10,403.3,2013-02-26,8,printer paper
4,129.2,2013-02-26,0,printer paper
6,116.88,2013-02-26,23,printer paper
10,338.3,2013-02-26,9,printer paper
4,588.08,2013-02-27,5,backpack
2,185.12,2013-02-27,13,backpack
1,12.97,2013-02-27,13,binder
6,93.24,2013-02-27,13,envelopes
3,2512.89,2013-02-27,13,laptop
6,78.23,2013-02-27,5,notepad
5,189.12,2013-02-27,13,notepad
1,141.91,2013-03-01,19,backpack
5,264.75,2013-03-01,13,backpack
3,73.89,2013-03-01,21,binder
3,36.18,2013-03-01,13,binder
3,38.19,2013-03-01,19,binder
4,57.64,2013-03-01,21,envelopes
7,94.79,2013-03-01,13,envelopes
5,7163.6,2013-03-01,19,laptop
2,1494.84,2013-03-01,21,laptop
5,88.15,2013-03-01,19,notepad
9,286.37,2013-03-01,13,notepad
4,260.91,2013-03-01,13,pens
1,15.24,2013-03-01,19,pens
5,139.55,2013-03-01,19,printer paper
4,448.56,2013-03-02,1,backpack
6,75.12,2013-03-02,1,envelopes
1,7.98,2013-03-02,1,notepad
2,79.6,2013-03-02,1,pens
1,42.65,2013-03-04,16,backpack
7,87.29,2013-03-04,16,binder
3,34.68,2013-03-04,19,envelopes
2,2558.58,2013-03-04,16,laptop
2,59.66,2013-03-04,16,notepad
4,138.44,2013-03-04,19,pens
4,170.08,2013-03-04,16,printer paper
6,115.02,2013-03-05,10,binder
10,206.4,2013-03-05,10,envelopes
2,1887.76,2013-03-05,10,laptop
9,249.38,2013-03-05,1,notepad
6,133.64,2013-03-05,10,pens
5,193.0,2013-03-05,1,printer paper
8,188.64,2013-03-05,10,printer paper
3,66.48,2013-03-06,14,binder
4,1643.0,2013-03-06,19,laptop
1,18.78,2013-03-06,19,notepad
8,229.15,2013-03-06,14,notepad
3,121.02,2013-03-06,14,pens
1,169.64,2013-03-07,7,backpack
5,982.4,2013-03-07,5,backpack
5,591.3,2013-03-07,15,backpack
9,231.51,2013-03-07,5,binder
2,38.52,2013-03-07,7,binder
1,9.14,2013-03-07,5,envelopes
5,5504.7,2013-03-07,7,laptop
1,700.39,2013-03-07,5,laptop
6,78.23,2013-03-07,5,notepad
2,61.46,2013-03-07,7,notepad
9,203.82,2013-03-07,9,notepad
8,387.45,2013-03-07,5,pens
8,151.79,2013-03-07,15,pens
5,382.6,2013-03-07,7,pens
1,36.54,2013-03-07,15,printer paper
4,97.12,2013-03-07,7,printer paper
9,99.49,2013-03-08,5,binder
9,148.5,2013-03-08,20,binder
4,39.44,2013-03-08,20,envelopes
4,93.64,2013-03-08,5,envelopes
5,3580.65,2013-03-08,20,laptop
5,39.57,2013-03-08,5,notepad
6,124.76,2013-03-08,20,notepad
1,44.16,2013-03-08,5,pens
1,19.25,2013-03-08,20,pens
3,71.31,2013-03-09,2,binder
10,220.8,2013-03-09,2,envelopes
10,181.7,2013-03-09,8,envelopes
4,103.48,2013-03-09,2,notepad
5,75.55,2013-03-09,15,notepad
5,44.9,2013-03-09,2,pens
